area_code,area,year,population,land_co2,agri_ch4,agri_n2o,agri_co2,production,harvest,yield
1,Armenia,1992,3442.81,4.3864,56.4059,4.3444,3168.69,3338350.0,820988.0,3106020.0
1,Armenia,1993,3363.1,224.386,50.2302,3.6882,2752.2,3112610.0,849426.0,2804070.0
1,Armenia,1994,3283.66,297.72,49.5257,3.2735,2544.9,3217760.0,782011.0,2968640.0
1,Armenia,1995,3217.34,224.386,48.8654,3.2319,2511.89,3312280.0,705936.0,3168420.0
1,Armenia,1996,3168.22,293.8,48.8143,3.2998,2543.06,3552450.0,809623.0,3242870.0
1,Armenia,1997,3133.09,220.486,48.6963,3.2375,2514.51,2857030.0,838784.0,2803980.0
1,Armenia,1998,3108.68,297.799,44.6373,3.1294,2378.47,3310870.0,799700.0,3214360.0
1,Armenia,1999,3089.02,220.482,45.1495,3.035,2342.47,3311180.0,752298.0,3378580.0
1,Armenia,2000,3069.59,293.333,45.621,3.0775,2373.22,2766080.0,727515.0,2895340.0
1,Armenia,2001,3050.66,226.979,47.2032,3.1336,2431.66,3444010.0,863666.0,3249830.0
1,Armenia,2002,3033.9,220.388,49.0474,3.7213,2741.71,3629580.0,819187.0,3251430.0
1,Armenia,2003,3017.81,293.721,50.9378,3.6001,2723.19,3821510.0,861274.0,3516200.0
1,Armenia,2004,3000.61,222.326,53.4728,3.9221,2926.79,4710740.0,910135.0,3896870.0
1,Armenia,2005,2981.26,221.163,53.5904,3.7756,2861.74,5345370.0,924805.0,4797600.0
1,Armenia,2006,2958.5,230.081,55.1691,5.8205,3838.41,4902780.0,780185.0,4894540.0
1,Armenia,2007,2933.06,295.272,57.5969,4.7334,3384.78,6004210.0,850287.0,5235610.0
1,Armenia,2008,2908.22,221.551,58.062,4.5646,3323.08,6071040.0,845849.0,5335100.0
1,Armenia,2009,2888.58,293.333,53.431,4.9373,3400.42,5966500.0,821019.0,5447060.0
1,Armenia,2010,2877.31,254.122,52.5274,4.5049,3167.34,4615210.0,780962.0,4416030.0
1,Armenia,2011,2875.58,-293.333,52.0082,4.7449,3277.5,5811730.0,799626.0,5078890.0
1,Armenia,2012,2881.92,-287.905,54.7215,5.8066,3828.65,6529000.0,851496.0,5657320.0
1,Armenia,2013,2893.51,-290.619,60.4597,6.2463,4147.52,6933200.0,878079.0,5685170.0
1,Armenia,2014,2906.22,-293.333,62.1415,5.9298,4036.93,7228500.0,891488.0,5805810.0
1,Armenia,2015,2916.95,-291.007,63.3129,6.6119,4377.72,7420410.0,924323.0,5913800.0
1,Armenia,2016,2924.82,-292.558,64.7603,10.1762,6061.31,6791720.0,955352.0,5164340.0
1,Armenia,2017,2930.45,,60.4626,7.4694,4713.36,5665890.0,792936.0,5195820.0
1,Armenia,2018,2934.15,,,,,,,
1,Armenia,2019,2936.71,,,,,,,
1,Armenia,2020,2938.68,,,,,,,
1,Armenia,2021,2939.94,,,,,,,
1,Armenia,2022,2940.09,,,,,,,
1,Armenia,2023,2939.17,,,,,,,
1,Armenia,2024,2937.24,,,,,,,
1,Armenia,2025,2934.37,,,,,,,
1,Armenia,2026,2930.59,,,,,,,
1,Armenia,2027,2925.92,,,,,,,
1,Armenia,2028,2920.45,,,,,,,
1,Armenia,2029,2914.27,,,,,,,
1,Armenia,2030,2907.46,,67.5831,6.1137,4233.06,,,
1,Armenia,2031,2900.08,,,,,,,
1,Armenia,2032,2892.15,,,,,,,
1,Armenia,2033,2883.79,,,,,,,
1,Armenia,2034,2875.1,,,,,,,
1,Armenia,2035,2866.15,,,,,,,
1,Armenia,2036,2857.0,,,,,,,
1,Armenia,2037,2847.66,,,,,,,
1,Armenia,2038,2838.11,,,,,,,
1,Armenia,2039,2828.36,,,,,,,
1,Armenia,2040,2818.4,,,,,,,
1,Armenia,2041,2808.23,,,,,,,
1,Armenia,2042,2797.83,,,,,,,
1,Armenia,2043,2787.16,,,,,,,
1,Armenia,2044,2776.11,,,,,,,
1,Armenia,2045,2764.62,,,,,,,
1,Armenia,2046,2752.66,,,,,,,
1,Armenia,2047,2740.25,,,,,,,
1,Armenia,2048,2727.37,,,,,,,
1,Armenia,2049,2714.02,,,,,,,
1,Armenia,2050,2700.18,,75.384,7.1398,4869.38,,,
1,Armenia,2051,2685.88,,,,,,,
1,Armenia,2052,2671.1,,,,,,,
1,Armenia,2053,2655.89,,,,,,,
1,Armenia,2054,2640.27,,,,,,,
1,Armenia,2055,2624.29,,,,,,,
1,Armenia,2056,2607.94,,,,,,,
1,Armenia,2057,2591.26,,,,,,,
1,Armenia,2058,2574.28,,,,,,,
1,Armenia,2059,2557.05,,,,,,,
1,Armenia,2060,2539.6,,,,,,,
1,Armenia,2061,2521.94,,,,,,,
1,Armenia,2062,2504.11,,,,,,,
1,Armenia,2063,2486.13,,,,,,,
1,Armenia,2064,2468.03,,,,,,,
1,Armenia,2065,2449.83,,,,,,,
1,Armenia,2066,2431.56,,,,,,,
1,Armenia,2067,2413.23,,,,,,,
1,Armenia,2068,2394.84,,,,,,,
1,Armenia,2069,2376.38,,,,,,,
1,Armenia,2070,2357.86,,,,,,,
1,Armenia,2071,2339.28,,,,,,,
1,Armenia,2072,2320.65,,,,,,,
1,Armenia,2073,2302.0,,,,,,,
1,Armenia,2074,2283.32,,,,,,,
1,Armenia,2075,2264.62,,,,,,,
1,Armenia,2076,2245.92,,,,,,,
1,Armenia,2077,2227.24,,,,,,,
1,Armenia,2078,2208.6,,,,,,,
1,Armenia,2079,2190.01,,,,,,,
1,Armenia,2080,2171.52,,,,,,,
1,Armenia,2081,2153.12,,,,,,,
1,Armenia,2082,2134.87,,,,,,,
1,Armenia,2083,2116.77,,,,,,,
1,Armenia,2084,2098.87,,,,,,,
1,Armenia,2085,2081.22,,,,,,,
1,Armenia,2086,2063.83,,,,,,,
1,Armenia,2087,2046.7,,,,,,,
1,Armenia,2088,2029.86,,,,,,,
1,Armenia,2089,2013.3,,,,,,,
1,Armenia,2090,1997.04,,,,,,,
1,Armenia,2091,1981.07,,,,,,,
1,Armenia,2092,1965.38,,,,,,,
1,Armenia,2093,1949.98,,,,,,,
1,Armenia,2094,1934.85,,,,,,,
1,Armenia,2095,1919.97,,,,,,,
1,Armenia,2096,1905.32,,,,,,,
1,Armenia,2097,1890.89,,,,,,,
1,Armenia,2098,1876.64,,,,,,,
1,Armenia,2099,1862.55,,,,,,,
1,Armenia,2100,1848.57,,,,,,,
2,Afghanistan,1950,7752.12,,,,,,,
2,Afghanistan,1951,7839.51,,,,,,,
2,Afghanistan,1952,7934.98,,,,,,,
2,Afghanistan,1953,8038.6,,,,,,,
2,Afghanistan,1954,8150.45,,,,,,,
2,Afghanistan,1955,8270.58,,,,,,,
2,Afghanistan,1956,8399.03,,,,,,,
2,Afghanistan,1957,8535.81,,,,,,,
2,Afghanistan,1958,8680.95,,,,,,,
2,Afghanistan,1959,8834.45,,,,,,,
2,Afghanistan,1960,8996.35,,,,,,,
2,Afghanistan,1961,9166.76,,571.559,20.9956,21609.2,14449600.0,11835000.0,1787380.0
2,Afghanistan,1962,9345.87,,581.734,20.7923,21725.9,14552400.0,12229700.0,1828890.0
2,Afghanistan,1963,9533.95,,604.056,21.1469,22356.9,13760200.0,12358100.0,1830170.0
2,Afghanistan,1964,9731.36,,613.814,21.5901,22764.8,14938000.0,12444100.0,1895970.0
2,Afghanistan,1965,9938.41,,627.838,22.0969,23291.8,15268800.0,12298100.0,2007240.0
2,Afghanistan,1966,10152.3,,652.523,22.6506,24061.9,14506200.0,12194600.0,2030410.0
2,Afghanistan,1967,10372.6,,654.361,23.2345,24373.4,15905900.0,11249800.0,2206220.0
2,Afghanistan,1968,10604.3,,672.122,24.275,25227.3,16254300.0,10919400.0,2277990.0
2,Afghanistan,1969,10854.4,,667.077,24.1704,25072.8,16741700.0,11054400.0,2249010.0
2,Afghanistan,1970,11126.1,,674.268,24.2896,25277.3,14865800.0,11337000.0,2134500.0
2,Afghanistan,1971,11417.8,,669.095,24.0123,25038.1,14087600.0,12050100.0,1944760.0
2,Afghanistan,1972,11721.9,,557.274,18.572,20202.5,16182200.0,13592600.0,2064720.0
2,Afghanistan,1973,12027.8,,583.037,20.6171,21684.2,17485800.0,11968600.0,2082710.0
2,Afghanistan,1974,12321.5,,620.186,22.4524,23306.0,17964000.0,12265400.0,2084250.0
2,Afghanistan,1975,12590.3,,660.291,24.3717,25026.2,18524400.0,12366000.0,2203810.0
2,Afghanistan,1976,12840.3,,673.095,25.0765,25618.6,19417200.0,12486600.0,2285310.0
2,Afghanistan,1977,13067.5,,657.674,24.5544,25056.6,16844800.0,12385000.0,1740720.0
2,Afghanistan,1978,13237.7,,657.179,24.147,24862.1,18031800.0,12332400.0,2078590.0
2,Afghanistan,1979,13306.7,,643.156,23.3952,24223.7,17432700.0,11585300.0,2170670.0
2,Afghanistan,1980,13248.4,,640.826,23.6258,24282.3,16927900.0,10910400.0,2241840.0
2,Afghanistan,1981,13054.0,,641.763,23.3609,24178.4,16308500.0,10630800.0,2123580.0
2,Afghanistan,1982,12749.6,,638.537,23.6799,24260.2,15666200.0,10208600.0,2142630.0
2,Afghanistan,1983,12389.3,,603.648,22.1758,22841.4,15183100.0,9711160.0,2277960.0
2,Afghanistan,1984,12047.1,,533.153,20.9372,20801.3,14573200.0,9404450.0,2265490.0
2,Afghanistan,1985,11783.0,,472.248,19.2822,18763.8,13854900.0,9010980.0,2076300.0
2,Afghanistan,1986,11601.0,,384.849,16.2881,15556.8,13167700.0,8656520.0,2276350.0
2,Afghanistan,1987,11502.8,,414.568,17.7448,16849.0,13875100.0,8924670.0,2293750.0
2,Afghanistan,1988,11540.9,,436.387,18.5234,17660.5,12671500.0,8424660.0,2261620.0
2,Afghanistan,1989,11777.6,,429.408,18.4125,17463.1,12029400.0,8301480.0,2245100.0
2,Afghanistan,1990,12249.1,0.0484,429.7,18.2258,17363.8,11808000.0,8074980.0,2185200.0
2,Afghanistan,1991,12993.7,0.0484,449.086,18.7715,18024.2,13622900.0,8526850.0,2517180.0
2,Afghanistan,1992,13981.2,0.0484,454.252,18.4253,17976.2,12630000.0,8214850.0,2494760.0
2,Afghanistan,1993,15095.1,0.0484,457.808,18.6438,18149.8,14380400.0,9468210.0,2484510.0
2,Afghanistan,1994,16172.7,0.0484,474.772,17.4721,17959.0,14884500.0,9857390.0,2492680.0
